d[1,2] = 2; PATH: 1-2
d[1,3] = 2; PATH: 1-32-3
d[1,4] = 2; PATH: 1-32-4
d[1,5] = 3; PATH: 1-22-28-5
d[1,6] = 2; PATH: 1-51-6
d[1,7] = 4; PATH: 1-2-7
d[1,8] = 3; PATH: 1-22-31-8
d[1,9] = 2; PATH: 1-51-9
d[1,10] = 2; PATH: 1-10
d[1,11] = 2; PATH: 1-32-11
d[1,12] = 3; PATH: 1-10-12
d[1,13] = 3; PATH: 1-13
d[1,14] = 2; PATH: 1-14
d[1,15] = 3; PATH: 1-32-27-15
d[1,16] = 3; PATH: 1-2-16
d[1,17] = 2; PATH: 1-17
d[1,18] = 2; PATH: 1-51-18
d[1,19] = 2; PATH: 1-51-19
d[1,20] = 2; PATH: 1-51-20
d[1,21] = 2; PATH: 1-51-21
d[1,22] = 1; PATH: 1-22
d[1,23] = 2; PATH: 1-32-23
d[1,24] = 3; PATH: 1-17-24
d[1,25] = 3; PATH: 1-74-39-25
d[1,26] = 3; PATH: 1-22-28-26
d[1,27] = 2; PATH: 1-32-27
d[1,28] = 2; PATH: 1-22-28
d[1,29] = 2; PATH: 1-32-29
d[1,30] = 3; PATH: 1-32-30
d[1,31] = 2; PATH: 1-22-31
d[1,32] = 1; PATH: 1-32
d[1,33] = 2; PATH: 1-74-33
d[1,34] = 3; PATH: 1-17-34
d[1,35] = 2; PATH: 1-22-35
d[1,36] = 2; PATH: 1-74-36
d[1,37] = 2; PATH: 1-37
d[1,38] = 3; PATH: 1-32-43-38
d[1,39] = 2; PATH: 1-74-39
d[1,40] = 3; PATH: 1-14-40
d[1,41] = 3; PATH: 1-22-35-41
d[1,42] = 2; PATH: 1-74-42
d[1,43] = 2; PATH: 1-32-43
d[1,44] = 2; PATH: 1-74-44
d[1,45] = 3; PATH: 1-22-28-45
d[1,46] = 3; PATH: 1-2-46
d[1,47] = 3; PATH: 1-51-19-47
d[1,48] = 3; PATH: 1-22-48
d[1,49] = 3; PATH: 1-51-18-49
d[1,50] = 2; PATH: 1-32-50
d[1,51] = 1; PATH: 1-51
d[1,52] = 3; PATH: 1-51-19-52
d[1,53] = 2; PATH: 1-74-53
d[1,54] = 2; PATH: 1-22-54
d[1,55] = 3; PATH: 1-51-19-55
d[1,56] = 3; PATH: 1-22-31-56
d[1,57] = 2; PATH: 1-32-57
d[1,58] = 2; PATH: 1-22-58
d[1,59] = 3; PATH: 1-14-59
d[1,60] = 3; PATH: 1-51-60
