d[1,2] = INF; PATH: NO PATH
d[1,3] = 2; PATH: 1-9-3
d[1,4] = 2; PATH: 1-9-4
d[1,5] = 2; PATH: 1-9-5
d[1,6] = 2; PATH: 1-6
d[1,7] = 5; PATH: 1-7
d[1,8] = 3; PATH: 1-9-5-8
d[1,9] = 1; PATH: 1-9
d[1,10] = 6; PATH: 1-9-5-10
d[2,1] = 3; PATH: 2-1
d[2,3] = 5; PATH: 2-1-9-3
d[2,4] = 5; PATH: 2-1-9-4
d[2,5] = 5; PATH: 2-1-9-5
d[2,6] = 1; PATH: 2-6
d[2,7] = 5; PATH: 2-6-7
d[2,8] = 4; PATH: 2-8
d[2,9] = 4; PATH: 2-1-9
d[2,10] = 9; PATH: 2-1-9-5-10
d[3,1] = 8; PATH: 3-4-1
d[3,2] = INF; PATH: NO PATH
d[3,4] = 4; PATH: 3-4
d[3,5] = 6; PATH: 3-4-9-5
d[3,6] = 4; PATH: 3-6
d[3,7] = 6; PATH: 3-7
d[3,8] = 7; PATH: 3-4-9-5-8
d[3,9] = 5; PATH: 3-4-9
d[3,10] = 10; PATH: 3-4-9-5-10
d[4,1] = 4; PATH: 4-1
d[4,2] = INF; PATH: NO PATH
d[4,3] = 2; PATH: 4-9-3
d[4,5] = 2; PATH: 4-9-5
d[4,6] = 2; PATH: 4-6
d[4,7] = 6; PATH: 4-6-7
d[4,8] = 3; PATH: 4-9-5-8
d[4,9] = 1; PATH: 4-9
d[4,10] = 6; PATH: 4-9-5-10
d[5,1] = 7; PATH: 5-8-4-1
d[5,2] = INF; PATH: NO PATH
d[5,3] = 5; PATH: 5-8-9-3
d[5,4] = 3; PATH: 5-8-4
d[5,6] = 5; PATH: 5-8-4-6
d[5,7] = 6; PATH: 5-8-7
d[5,8] = 1; PATH: 5-8
d[5,9] = 4; PATH: 5-8-9
d[5,10] = 4; PATH: 5-10
d[6,1] = 10; PATH: 6-9-4-1
d[6,2] = INF; PATH: NO PATH
d[6,3] = 5; PATH: 6-7-3
d[6,4] = 6; PATH: 6-9-4
d[6,5] = 6; PATH: 6-9-5
d[6,7] = 4; PATH: 6-7
d[6,8] = 7; PATH: 6-9-5-8
d[6,9] = 5; PATH: 6-9
d[6,10] = 10; PATH: 6-7-10
d[7,1] = 8; PATH: 7-9-4-1
d[7,2] = INF; PATH: NO PATH
d[7,3] = 1; PATH: 7-3
d[7,4] = 4; PATH: 7-9-4
d[7,5] = 4; PATH: 7-9-5
d[7,6] = 5; PATH: 7-3-6
d[7,8] = 4; PATH: 7-8
d[7,9] = 3; PATH: 7-9
d[7,10] = 6; PATH: 7-10
d[8,1] = 6; PATH: 8-4-1
d[8,2] = INF; PATH: NO PATH
d[8,3] = 4; PATH: 8-9-3
d[8,4] = 2; PATH: 8-4
d[8,5] = 4; PATH: 8-9-5
d[8,6] = 4; PATH: 8-4-6
d[8,7] = 5; PATH: 8-7
d[8,9] = 3; PATH: 8-9
d[8,10] = 8; PATH: 8-9-5-10
d[9,1] = 5; PATH: 9-4-1
d[9,2] = INF; PATH: NO PATH
d[9,3] = 1; PATH: 9-3
d[9,4] = 1; PATH: 9-4
d[9,5] = 1; PATH: 9-5
d[9,6] = 3; PATH: 9-4-6
d[9,7] = 7; PATH: 9-3-7
d[9,8] = 2; PATH: 9-5-8
d[9,10] = 5; PATH: 9-5-10
d[10,1] = 4; PATH: 10-1
d[10,2] = INF; PATH: NO PATH
d[10,3] = 5; PATH: 10-8-9-3
d[10,4] = 3; PATH: 10-8-4
d[10,5] = 2; PATH: 10-5
d[10,6] = 4; PATH: 10-6
d[10,7] = 6; PATH: 10-7
d[10,8] = 1; PATH: 10-8
d[10,9] = 4; PATH: 10-8-9

NODES: 10
EDGES: 39
ROUTES: 90
ITERATIONS: 1000
