d[1,2] = 2; PATH: 1-191-2
d[1,3] = 2; PATH: 1-3
d[1,4] = 3; PATH: 1-35-119-4
d[1,5] = 2; PATH: 1-172-5
d[1,6] = 2; PATH: 1-169-6
d[1,7] = 2; PATH: 1-99-7
d[1,8] = 3; PATH: 1-35-8
d[1,9] = 2; PATH: 1-26-9
d[1,10] = 2; PATH: 1-35-10
d[1,11] = 2; PATH: 1-169-11
d[1,12] = 2; PATH: 1-35-12
d[1,13] = 2; PATH: 1-13
d[1,14] = 2; PATH: 1-35-14
d[1,15] = 3; PATH: 1-3-15
d[1,16] = 3; PATH: 1-35-14-16
d[1,17] = 3; PATH: 1-26-9-17
d[1,18] = 2; PATH: 1-66-18
d[1,19] = 3; PATH: 1-29-19
d[1,20] = 2; PATH: 1-20
d[1,21] = 2; PATH: 1-63-21
d[1,22] = 2; PATH: 1-191-22
d[1,23] = 3; PATH: 1-26-64-23
d[1,24] = 2; PATH: 1-63-24
d[1,25] = 2; PATH: 1-63-25
d[1,26] = 1; PATH: 1-26
d[1,27] = 2; PATH: 1-99-27
d[1,28] = 3; PATH: 1-35-60-28
d[1,29] = 2; PATH: 1-29
d[1,30] = 2; PATH: 1-30
d[1,31] = 2; PATH: 1-63-31
d[1,32] = 3; PATH: 1-35-10-32
d[1,33] = 2; PATH: 1-35-33
d[1,34] = 2; PATH: 1-26-34
d[1,35] = 1; PATH: 1-35
d[1,36] = 2; PATH: 1-124-36
d[1,37] = 3; PATH: 1-35-12-37
d[1,38] = 3; PATH: 1-20-38
d[1,39] = 2; PATH: 1-123-39
d[1,40] = 2; PATH: 1-40
d[1,41] = 3; PATH: 1-42-41
d[1,42] = 2; PATH: 1-42
d[1,43] = 2; PATH: 1-124-43
d[1,44] = 2; PATH: 1-172-44
d[1,45] = 2; PATH: 1-26-45
d[1,46] = 2; PATH: 1-66-46
d[1,47] = 2; PATH: 1-47
d[1,48] = 2; PATH: 1-172-48
d[1,49] = 2; PATH: 1-66-49
d[1,50] = 2; PATH: 1-191-50
d[1,51] = 2; PATH: 1-35-51
d[1,52] = 3; PATH: 1-26-52
d[1,53] = 3; PATH: 1-35-60-53
d[1,54] = 3; PATH: 1-3-54
d[1,55] = 3; PATH: 1-13-55
d[1,56] = 2; PATH: 1-172-56
d[1,57] = 2; PATH: 1-124-57
d[1,58] = 3; PATH: 1-66-58
d[1,59] = 2; PATH: 1-59
d[1,60] = 2; PATH: 1-35-60
d[1,61] = 2; PATH: 1-172-61
d[1,62] = 2; PATH: 1-99-62
d[1,63] = 1; PATH: 1-63
d[1,64] = 2; PATH: 1-26-64
d[1,65] = 2; PATH: 1-123-65
d[1,66] = 1; PATH: 1-66
d[1,67] = 2; PATH: 1-123-67
d[1,68] = 2; PATH: 1-123-68
d[1,69] = 2; PATH: 1-99-69
d[1,70] = 2; PATH: 1-123-70
d[1,71] = 2; PATH: 1-66-71
d[1,72] = 2; PATH: 1-66-72
